track_id,artists,tracks,artist_id,track_popularity,track_url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0pojbrpMtuUWzojK1F7wOU,1000mods,electric carve,7EgAHTw2PMP7a1tAEtue89,37.0,https://p.scdn.co/mp3-preview/ef13f6b7b07171b65c4c222075f04d7e46c0b586?cid=72c9f2b9d3344c91af50a24f4144228f,0.000101,0.324,0.869,0.229,0.138,-6.474,0.0451,165.501,0.491
2RNzwwqSro8Gcuu3svSrhM,1000mods,low,7EgAHTw2PMP7a1tAEtue89,36.0,https://p.scdn.co/mp3-preview/b43089d233bbc501ba2bcc9a336771b758de6953?cid=72c9f2b9d3344c91af50a24f4144228f,0.00203,0.34,0.696,0.124,0.0931,-9.238,0.0337,128.045,0.199
4kyesMU5MvTLGKczuhKnVn,1000mods,road to burn,7EgAHTw2PMP7a1tAEtue89,40.0,https://p.scdn.co/mp3-preview/3e59afc6eef70f30721ece30ad82cdbeda0a76e5?cid=72c9f2b9d3344c91af50a24f4144228f,0.0126,0.26,0.684,0.646,0.114,-9.513,0.039,105.261,0.2
1gl4nHeddPsq9bCaxHFJiW,1000mods,claws,7EgAHTw2PMP7a1tAEtue89,34.0,https://p.scdn.co/mp3-preview/fdc8ddef8622a35c874ca743a25328c595fea3b1?cid=72c9f2b9d3344c91af50a24f4144228f,0.00542,0.208,0.843,0.272,0.124,-7.68,0.0536,174.46,0.251
2XUkUPWXa5RZP2hGQtXVcR,1000mods,loose,7EgAHTw2PMP7a1tAEtue89,30.0,https://p.scdn.co/mp3-preview/6b5c40d7f213ee18a7577d540027c176b69663a0?cid=72c9f2b9d3344c91af50a24f4144228f,3.41e-05,0.142,0.64,0.369,0.136,-7.797,0.0375,179.953,0.0577
503S4OpOynqYxV2iaMjQVd,1000mods,super van vacation,7EgAHTw2PMP7a1tAEtue89,27.0,https://p.scdn.co/mp3-preview/85f8021896e6aee973be59d032ae9a046e0c47cd?cid=72c9f2b9d3344c91af50a24f4144228f,0.00436,0.2,0.957,0.804,0.111,-7.345,0.0746,133.729,0.169
0gJ5VXDncxLC3RntVAGHPt,1000mods,the son,7EgAHTw2PMP7a1tAEtue89,26.0,https://p.scdn.co/mp3-preview/8e9ac3844d3cab441ab0355d42e192d974862dce?cid=72c9f2b9d3344c91af50a24f4144228f,0.00269,0.275,0.619,0.183,0.107,-7.681,0.0375,137.769,0.0374
15EQkPa8HPO9ZqNUxrsXwo,1000mods,on a stone,7EgAHTw2PMP7a1tAEtue89,22.0,https://p.scdn.co/mp3-preview/5d970ae964c71cfa069adef904dbc3ea02505b48?cid=72c9f2b9d3344c91af50a24f4144228f,8.61e-05,0.392,0.821,0.0633,0.113,-5.633,0.0348,130.108,0.128
,10cc,i m not in love,,,,,,,,,,,,
1LOZMYF5s8qhW7Rv4w2gun,10cc,dreadlock holiday,6i6WlGzQtXtz7GcC5H5st5,67.0,,0.541,0.837,0.38,0.00789,0.198,-13.341,0.064,104.995,0.892
6KEWtSOGKpIXGw6l1uJgsR,10cc,the things we do for love,6i6WlGzQtXtz7GcC5H5st5,66.0,,0.163,0.637,0.528,0.0,0.122,-9.837,0.0394,106.949,0.781
1QQgSUKCG8GakzMOwi4lFS,10cc,rubber bullets,6i6WlGzQtXtz7GcC5H5st5,48.0,https://p.scdn.co/mp3-preview/21232a27e6b08f53aaee945c99e997fd90f39c18?cid=72c9f2b9d3344c91af50a24f4144228f,0.0437,0.548,0.877,1.3e-05,0.0921,-4.458,0.124,148.799,0.466
,10cc,"i m mandy, fly me",,,,,,,,,,,,
7zOA2G5QfADpx83SfYGsKd,10cc,life is a minestrone,6i6WlGzQtXtz7GcC5H5st5,38.0,,0.118,0.574,0.688,0.0,0.214,-11.208,0.0361,126.306,0.783
0U8SDgf7UiNG68oa7CkSrc,10cc,une nuit a paris,6i6WlGzQtXtz7GcC5H5st5,28.0,,0.275,0.378,0.359,1.77e-06,0.12,-16.016,0.114,78.627,0.173
3HyZGwZAq9oQJQBzSyjs7Q,10cc,the wall street shuffle,6i6WlGzQtXtz7GcC5H5st5,24.0,,0.174,0.516,0.517,0.000162,0.112,-10.665,0.028,98.141,0.639
0orDEh9TN4jkgnDIXJkXnN,10cc,the worst band in the world,6i6WlGzQtXtz7GcC5H5st5,36.0,,0.192,0.653,0.453,0.0048,0.122,-13.259,0.156,155.748,0.69
1fMGRxKRtIKNyaMMGrzInM,10cc,good morning judge,6i6WlGzQtXtz7GcC5H5st5,53.0,,0.0185,0.737,0.642,0.00415,0.0726,-9.492,0.0916,106.742,0.467
471eQ7hcJ7JdGY1NzMmUeg,12 Stones,world so cold,0DrXhci3WAyo0WJv1RBOG6,55.0,,0.472,0.262,0.688,0.0,0.36,-4.949,0.0443,186.227,0.394
