track_id,artists,tracks,artist_id,track_popularity,track_url
1yUmIktbVZpA4YjY38lUP8,45 Grave,Phantoms,7swtUG7Md62y3wP2huMeab,18.0,https://p.scdn.co/mp3-preview/ac56bf180a3d3cff1e0ff28d820dd959ff344085?cid=72c9f2b9d3344c91af50a24f4144228f
7vsCsusYcnsoPzV1WRyAyA,45 Grave,Violent World,7swtUG7Md62y3wP2huMeab,19.0,https://p.scdn.co/mp3-preview/3a5cb7ef626ad762842dee1e1f8da1f6ede6a725?cid=72c9f2b9d3344c91af50a24f4144228f
4EoD6rgQw4Gi2MTvwGNTlX,45 Grave,Procession,7swtUG7Md62y3wP2huMeab,16.0,https://p.scdn.co/mp3-preview/aaa04f69841fa1873c5124395f3a0027b6a0f1f6?cid=72c9f2b9d3344c91af50a24f4144228f
3kUzWn5DDRlHBP7obj10Fo,45 Grave,Bad Love,7swtUG7Md62y3wP2huMeab,16.0,https://p.scdn.co/mp3-preview/b408247ed4d71c063e8905792eeec20bd24c0a3a?cid=72c9f2b9d3344c91af50a24f4144228f
2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,5Rl15oVamLq7FbSb0NNBNy,81.0,
1gugDOSMREb34Xo0c1PlxM,5 Seconds of Summer,She Looks So Perfect,5Rl15oVamLq7FbSb0NNBNy,73.0,
26wLOs3ZuHJa2Ihhx6QIE6,5 Seconds of Summer,Teeth,5Rl15oVamLq7FbSb0NNBNy,77.0,
3567eNX2L3RkkMkwspncMH,5 Seconds of Summer,Lie To Me,5Rl15oVamLq7FbSb0NNBNy,69.0,
19hh7DkfRBrpRGYfKlw7jb,5 Seconds of Summer,Valentine,5Rl15oVamLq7FbSb0NNBNy,62.0,
5EbidH3lGB30WuDsoR4km6,5 Seconds of Summer,No Shame,5Rl15oVamLq7FbSb0NNBNy,63.0,
6qlcjGJPTZEwR8nf2nSe9C,5 Seconds of Summer,Wildflower,5Rl15oVamLq7FbSb0NNBNy,64.0,
