track_id,artists,tracks,artist_id,track_popularity,track_url
6sqoptJC1QKPjqes9tu0R4,16 Horsepower,Wayfaring Stranger,188gwh9RnRT58ZQPwqwHE3,30.0,https://p.scdn.co/mp3-preview/0cfc759cea677e77773587a2efdaf2c888ba306c?cid=72c9f2b9d3344c91af50a24f4144228f
,16 Horsepower,Outlaw Song,,,
5nfiSyMCAPc92bOtuvMxgm,16 Horsepower,Low Estate,188gwh9RnRT58ZQPwqwHE3,13.0,
6WggMrFlBurKs4sTGSV4RG,18 Carat Affair,Love You Like Before,0va8U409dr4gA1zQ2gSnD5,33.0,https://p.scdn.co/mp3-preview/d7941561f022cf57c28059bcf46d954d488cf8f8?cid=72c9f2b9d3344c91af50a24f4144228f
0OGa4HYtYRWYysrGjpGVyw,18 Carat Affair,Desire,0va8U409dr4gA1zQ2gSnD5,43.0,https://p.scdn.co/mp3-preview/83a88e0ca7d204a419bb556a27ee51a9f1e41c7e?cid=72c9f2b9d3344c91af50a24f4144228f
5qkWTBmDmZjogwIvbKtJQv,2 Chainz,Birthday Song,17lzZA2AlOHwCwFALHttmp,55.0,
6j9iyrrmqWlQZ5SD1hSTaq,2 Chainz,No Lie,17lzZA2AlOHwCwFALHttmp,60.0,
6J5sxraPPZ4b0CVOGAgpXj,2 Chainz,I'm Different,17lzZA2AlOHwCwFALHttmp,58.0,
39pS70eeDvyCAF3t8NAlVV,2 Chainz,Good Drank,17lzZA2AlOHwCwFALHttmp,59.0,
07RXBKfyCYIYRMLCvlGWXU,2 Chainz,Feds Watching,17lzZA2AlOHwCwFALHttmp,48.0,
1nX9KhK3Fff27SnrIor2Yb,2 Chainz,4 AM,17lzZA2AlOHwCwFALHttmp,66.0,
6VdntIdcyyW0dGooUcSi8i,2 Chainz,Watch Out,17lzZA2AlOHwCwFALHttmp,0.0,
6H0AwSQ20mo62jGlPGB8S6,2 Chainz,It's A Vibe,17lzZA2AlOHwCwFALHttmp,71.0,
0NA4ULVsnaQ0JhLT0fBxPA,2 Chainz,Crack,17lzZA2AlOHwCwFALHttmp,37.0,
5tkDCf3xKRZjT5RbCb3sZB,2 Chainz,Big Amount,17lzZA2AlOHwCwFALHttmp,53.0,
5eqK0tbzUPo2SoeZsov04s,21 Savage,Bank Account,1URnnhqYAYcrqrcwql10ft,77.0,https://p.scdn.co/mp3-preview/f604f6987f32e3208b4b121b0ab85e15d51003da?cid=72c9f2b9d3344c91af50a24f4144228f
2t8yVaLvJ0RenpXUIAC52d,21 Savage,a lot,1URnnhqYAYcrqrcwql10ft,79.0,https://p.scdn.co/mp3-preview/1fb3f4819c85b41a294b638c06cd562df1f09f80?cid=72c9f2b9d3344c91af50a24f4144228f
50a8bKqlwDEqeiEknrzkTO,21 Savage,ball w/o you,1URnnhqYAYcrqrcwql10ft,77.0,https://p.scdn.co/mp3-preview/87ade0f6298b4ddfe4c105bcc39c95411439020c?cid=72c9f2b9d3344c91af50a24f4144228f
3cqZH3cqvfbV8wVbvHyPbG,21 Savage,Red Opps,1URnnhqYAYcrqrcwql10ft,61.0,https://p.scdn.co/mp3-preview/61482a8b1dda9ffcaf6b18e6e2082a8bf6bdaf40?cid=72c9f2b9d3344c91af50a24f4144228f
0hPLZrnDgtKxrym1BHjDhd,21 Savage,can't leave without it,1URnnhqYAYcrqrcwql10ft,71.0,https://p.scdn.co/mp3-preview/94b822de57b9ce4d46f3a07398f521de016baf3d?cid=72c9f2b9d3344c91af50a24f4144228f
2FUNBaa5DwItJtYEBgAblU,21 Savage,monster,1URnnhqYAYcrqrcwql10ft,61.0,https://p.scdn.co/mp3-preview/53081291a5b459b508cc5dd8f95fdaf741ffc56e?cid=72c9f2b9d3344c91af50a24f4144228f
4IO8X9W69dIQe0EC5ALXhq,21 Savage,Immortal,1URnnhqYAYcrqrcwql10ft,71.0,https://p.scdn.co/mp3-preview/e5dffe32645df3ea781c2fb4af4f06587b5c6337?cid=72c9f2b9d3344c91af50a24f4144228f
4paAidoE8VAemwU4jgCc6l,21 Savage,all my friends,1URnnhqYAYcrqrcwql10ft,63.0,https://p.scdn.co/mp3-preview/6e1a4a7794ee226d2e0ff9b9a0dbee5ab13f0873?cid=72c9f2b9d3344c91af50a24f4144228f
0G149jkGWKwrPXUGkEDgWM,21 Savage,Numb,1URnnhqYAYcrqrcwql10ft,60.0,https://p.scdn.co/mp3-preview/bbfa4fab030f3fd958fd02fdf6cb773afeba7c8e?cid=72c9f2b9d3344c91af50a24f4144228f
2QgfDF0fQ4sskDthP8MG5w,21 Savage,asmr,1URnnhqYAYcrqrcwql10ft,60.0,https://p.scdn.co/mp3-preview/a81c88669dd2a68381ac3f2b6cc4fc77388ae334?cid=72c9f2b9d3344c91af50a24f4144228f
4UreYC5yPdhZthaIVDAK5e,２８１４,Lost in a Dream,2wBpW4bAGYVe0yJcBeCTyd,24.0,https://p.scdn.co/mp3-preview/5860644431155a0e9b6c0e457de87825ea18069f?cid=72c9f2b9d3344c91af50a24f4144228f
,2814,遠くの愛好家 (Distant Lovers),,,
1jkuOkpviYuEGLIo4LPCgI,2CELLOS,Bang Bang (feat. Sky Ferreira),6Fi8CHfO8WGtu3yO8c2Mc4,30.0,https://p.scdn.co/mp3-preview/70c28c74755a7c60ac80fc52dc20b34dde1b69a3?cid=72c9f2b9d3344c91af50a24f4144228f
1iqy3M9K1lmr0GXI0wOW41,2CELLOS,Supermassive Black Hole (feat. Naya Rivera),6Fi8CHfO8WGtu3yO8c2Mc4,36.0,https://p.scdn.co/mp3-preview/5322a3b7a817f75bad410b138cb635fea0a89891?cid=72c9f2b9d3344c91af50a24f4144228f
63J1RStsmoVKXNTCHRNxii,2NE1,COME BACK HOME,1l0mKo96Jh9HVYONcRl3Yp,58.0,https://p.scdn.co/mp3-preview/d05161dc1e8e4402a9968f36f948d2f39f6f6d8e?cid=72c9f2b9d3344c91af50a24f4144228f
,2Ne1,Can’t Nobody (English Version),,,
,2Ne1,Come Back Home (Unplugged Version),,,
,2Ne1,Lonely (JP Ver.),,,
0Z2J91b2iTGLVTZC4fKgxf,2Pac,Hit 'Em Up - Single Version,1ZwdS5xdxEREPySFridCfh,81.0,
1ofhfV90EnYhEr7Un2fWiv,2Pac,Changes,1ZwdS5xdxEREPySFridCfh,71.0,
0XRbYXQUymj9SJkrr8YK5B,2Pac,Keep Ya Head Up,1ZwdS5xdxEREPySFridCfh,69.0,
2zoobJFEB9h15fjYjRd6oP,2Pac,Hail Mary,1ZwdS5xdxEREPySFridCfh,66.0,
6tDxrq4FxEL2q15y37tXT9,2Pac,Dear Mama,1ZwdS5xdxEREPySFridCfh,71.0,
3ia3dJETSOllPsv3LJkE35,2Pac,California Love - Original Version,1ZwdS5xdxEREPySFridCfh,78.0,
5g9lS8deSIxItFBmZRC4vN,2Pac,Ambitionz Az A Ridah,1ZwdS5xdxEREPySFridCfh,78.0,
4VQNCzfZ3MdHEwwErNXpBo,2Pac,All Eyez On Me (ft. Big Syke),1ZwdS5xdxEREPySFridCfh,76.0,
1qZqFtSINOOmjYH1UE9805,2Pac,Life Goes On,1ZwdS5xdxEREPySFridCfh,58.0,
6LwrEZNkvFTOypNwSLjuaJ,2Pac,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),1ZwdS5xdxEREPySFridCfh,67.0,
3NLrRZoMF0Lx6zTlYqeIo4,3 Doors Down,Here Without You,2RTUTCvo6onsAnheUk3aL9,75.0,
6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,Kryptonite,2RTUTCvo6onsAnheUk3aL9,79.0,
3WbphvawbMZ8FyqDxYGdSQ,3 Doors Down,When I'm Gone,2RTUTCvo6onsAnheUk3aL9,68.0,
1aC1IBAETh2XYGOE8kCC6t,3 Doors Down,Loser,2RTUTCvo6onsAnheUk3aL9,60.0,
0uybt73QFXaLCoxuVf6fhm,3 Doors Down,It's Not My Time,2RTUTCvo6onsAnheUk3aL9,61.0,
3PbHle8KhJp6GuO1jLdEmQ,3 Doors Down,Be Like That,2RTUTCvo6onsAnheUk3aL9,62.0,
3THdexHRmED4euIY91Zrxc,3 Doors Down,Away From The Sun,2RTUTCvo6onsAnheUk3aL9,56.0,
0nNVR2iDM3eVzEgMi78vQm,3 Doors Down,Let Me Go,2RTUTCvo6onsAnheUk3aL9,55.0,
69fOcFyjsjZtUHyWGEQndl,3 Doors Down,Landing In London,2RTUTCvo6onsAnheUk3aL9,50.0,
2C1m7Lw5cUpFWUkN6Tovik,3 Doors Down,The Road I'm On,2RTUTCvo6onsAnheUk3aL9,49.0,
6Fe3Flc9SjE03pqwD6PVQl,311,Amber,41Q0HrwWBtuUkJc7C1Rp6K,64.0,https://p.scdn.co/mp3-preview/11ccf09b6878825b98c54c01630adfabe42a0f25?cid=72c9f2b9d3344c91af50a24f4144228f
0LtsuNRz3IMRrHCYO9fKRk,311,Beautiful Disaster,41Q0HrwWBtuUkJc7C1Rp6K,62.0,https://p.scdn.co/mp3-preview/d47b7a52af2851108ab9c8516fbe5e72343ea3c4?cid=72c9f2b9d3344c91af50a24f4144228f
0HDaKOlVAfUWXdFR2RhBtN,311,Down,41Q0HrwWBtuUkJc7C1Rp6K,59.0,https://p.scdn.co/mp3-preview/adf173c08fbb99838c0dc5f65723b356a41a8b6a?cid=72c9f2b9d3344c91af50a24f4144228f
3mtukCAgd0mE260QcBfXAX,311,Love Song,41Q0HrwWBtuUkJc7C1Rp6K,59.0,https://p.scdn.co/mp3-preview/51b902259f3f21236bb1d8f09183f9e9dc0e6479?cid=72c9f2b9d3344c91af50a24f4144228f
18ZOH3KKu5Elt5ysocFyX4,311,All Mixed Up,41Q0HrwWBtuUkJc7C1Rp6K,60.0,https://p.scdn.co/mp3-preview/2de654a9b858bae177d0b83e4958860e57521d3f?cid=72c9f2b9d3344c91af50a24f4144228f
2PGaYCles9SXXCjYOcjyfk,311,Too Much To Think,41Q0HrwWBtuUkJc7C1Rp6K,44.0,https://p.scdn.co/mp3-preview/9e1e1ba4d589b86619f91f70d3460e920a62cd2c?cid=72c9f2b9d3344c91af50a24f4144228f
1mHZhWJu6RVJhyu3USZdI5,311,I'll Be Here Awhile,41Q0HrwWBtuUkJc7C1Rp6K,53.0,https://p.scdn.co/mp3-preview/cc443c42785a0dd44b0093ad4f564e232305665b?cid=72c9f2b9d3344c91af50a24f4144228f
4HcgoL4KNExj5LgmmFCj0D,311,Come Original,41Q0HrwWBtuUkJc7C1Rp6K,45.0,https://p.scdn.co/mp3-preview/51f79fc09aa39303e0181f6f5f54967c9870cca5?cid=72c9f2b9d3344c91af50a24f4144228f
